,Max. Freq. (Hz),Rheobase idx,Rheobase (pA),Slow AHP (mV),I at Max. Freq. (pA),Adaptation ratio,Avg Spike Time (s),Sag Amplitude (mV),Input R (MOhm),Capacitance (pF),Resting (mV),RS AHP Amp. (mV),RS Max. Slope (mV/ms),RS Min. Slope (mV/ms),RS Peak (mV),RS Half Width (ms),RS Threshold (mV),LS AHP Amp. (mV),LS Max. Slope (mV/ms),LS Min. Slope (mV/ms),LS Peak (mV),LS Half Width (ms),LS Threshold (mV)
D33,4.0,4.0,80.0,0.9276046752929688,520.0,2.174515235457033,0.016080000000000094,-1.1257858276367188,185.7570734873264,83.98778526708293,-73.0,-7.9345703125,2769.4701080322266,-831.6039581298828,31.912593841552734,0.9799999999959255,-61.471187591552734,-10.375978469848633,419.6166801452637,-381.4697322845459,-1.9619150161743164,1.679999999993015,-43.77099609375
D34,56.0,5.0,100.0,-4.151802062988281,560.0,5.7183098591550605,0.44486107142857145,-18.4801025390625,161.67926054551575,50.74433331155018,-69.0,-8.85009765625,3257.751495361328,-1342.7734756469727,26.114253997802734,0.5600000000013097,-57.809078216552734,-6.103514671325684,1724.2430114746094,-579.8339195251465,42.288570404052734,1.0,-19.96728515625
D35,4.0,4.0,80.0,-4.913822174072266,220.0,1.6704761904762295,0.022210000000000285,-23.07794189453125,193.23568282929233,66.21500228506075,-62.0,-14.6484375,2151.4891510009766,-1106.26220703125,8.719236373901367,0.680000000003929,-61.471187591552734,-13.732906341552734,1304.6263809204102,-671.3867378234863,-1.9619150161743164,0.8599999999933061,-53.2314453125
D36,5.0,15.0,300.0,8.345024108886719,580.0,36.71910112359618,0.19733199999999984,-2.009033203125,183.50628462001788,128.05294512010514,-89.0,-8.544923782348633,2265.930160522461,-740.0511741638184,39.541988372802734,0.9799999999959255,-41.634765625,-7.324218273162842,1243.5912246704102,-549.3163146972656,49.00244140625,1.1199999999953434,-15.3896484375
D37,111.0,2.0,40.0,-6.724678039550781,260.0,2.167539267015635,0.5095763963963962,-15.04046630859375,238.06734402808237,124.49670043630877,-64.0,-14.95361328125,3067.0164947509766,-2479.5531005859375,24.588375091552734,0.3600000000005821,-58.114253997802734,-20.141597747802734,2433.7767791748047,-2006.5307312011719,20.62109375,0.41999999999825377,-51.09521484375
D38,140.0,2.0,40.0,-4.130138397216797,380.0,1.7835051546391363,0.5095392857142858,-24.94225311279297,297.08136149661823,18.313834370370195,-65.0,-21.05712890625,3135.6810913085938,-2273.5594787597656,24.588375091552734,0.3999999999996362,-57.809078216552734,-11.291500091552734,923.1567001342773,-694.274845123291,-2.8774423599243164,0.8600000000005821,-50.1796875
D39,104.0,4.0,80.0,-5.379585266113281,580.0,1.2691218130311608,0.5107426923076925,-21.31121063232422,208.26912157290633,67.58967787160427,-63.0,-17.08984375,3974.9143981933594,-2365.1122283935547,32.828121185302734,0.38000000000101863,-61.471187591552734,-11.901851654052734,2151.4891967773438,-1129.1502990722656,14.822751998901367,0.5599999999976717,-49.26416015625
D40,164.0,3.0,60.0,-3.34375,580.0,2.626760563380332,0.45708475609756105,-10.47344970703125,179.32777025454325,79.8701925329983,-64.0,-14.0380859375,3295.8982849121094,-2822.8758850097656,28.250484466552734,0.31999999999970896,-56.588375091552734,-10.986324310302734,2441.4061889648438,-2006.5306854248047,20.0107421875,0.39999999999417923,-53.53662109375
D41,63.0,6.0,120.0,-4.071533203125,520.0,4.759999999999819,0.4411234920634919,-2.2662353515625,136.90322807668676,105.74436286170071,-55.0,-3.662109375,2586.364547729492,-1197.8148803710938,20.31591796875,0.6399999999994179,-62.081539154052734,-0.30517578125,534.0575981140137,-236.51123237609863,-1.3515634536743164,1.7200000000011642,-43.16064453125
D42,106.0,1.0,20.0,0.06243896484375,480.0,2.940298507462843,0.4705237735849055,-13.01611328125,413.892234507055,55.332812147335254,-67.0,-8.544921875,2723.6936645507812,-1258.8500900268555,24.588375091552734,0.6199999999989814,-57.809078216552734,0.0,259.3994016647339,-114.44091653823853,-5.013672828674316,2.039999999993597,-26.3759765625
D43,95.0,4.0,80.0,-1.35638427734375,400.0,1.762987012986972,0.4769964210526316,-21.34471893310547,208.33802829916536,45.110574293293354,-66.0,-13.427734375,2716.0642700195312,-1716.6136779785156,15.433103561401367,0.47999999999956344,-60.250484466552734,-10.375978469848633,1037.597640991211,-633.2397537231445,3.83642578125,0.8000000000029104,-41.32958984375
D44,254.0,4.0,80.0,-0.85052490234375,580.0,0.7686274509803614,0.5076987401574802,-11.713676452636719,168.28066285492116,74.61778586327195,-62.0,-21.972652435302734,3059.3871154785156,-2548.217544555664,20.92626953125,0.33999999999650754,-53.841796875,-11.5966796875,2220.1537017822266,-1708.984375,11.770994186401367,0.4399999999732245,-60.250484466552734
D46,6.0,12.0,240.0,11.973262786865234,540.0,10.612989801395647,0.34652666666666665,-2.9400634765625,129.72435459756304,177.46298530958202,-87.0,-8.850093841552734,2952.575469970703,-953.6742401123047,41.067867279052734,0.819999999999709,-51.400390625,-10.986330032348633,1708.9843292236328,-816.3452224731445,27.640132904052734,0.8999999999941792,-44.076171875
D47,4.0,17.0,340.0,-0.6907386779785156,580.0,20.361796331435666,0.21617499999999978,-2.75958251953125,155.9243934795444,224.8663347911358,-89.0,-10.681148529052734,2716.0643768310547,-862.1216430664062,32.522945404052734,0.8800000000046566,-52.31591796875,-9.460451126098633,1007.0800399780273,-503.54002380371094,18.7900390625,1.1600000000034925,-39.193359375
D48,78.0,3.0,60.0,-5.369083404541016,260.0,1.100952380952366,0.507224102564102,-11.6328125,356.3700921180853,67.15095828743958,-61.0,-16.17431640625,3532.4095611572266,-2677.917449951172,28.860836029052734,0.3600000000005821,-61.166011810302734,-13.732906341552734,2258.3006591796875,-1541.1376037597656,17.5693359375,0.47999999999592546,-53.2314453125
D49,10.0,7.0,140.0,7.060924530029297,560.0,13.627586206897009,0.26619400000000004,-3.0726394653320312,186.83308646567647,103.55820672947846,-83.0,-1.8310508728027344,2868.6522521972656,-862.1214904785156,37.100582122802734,0.9200000000055297,-55.6728515625,-3.9672861099243164,717.1630401611328,-373.84026527404785,20.92626953125,1.4199999999837019,-31.2587890625
D50,72.0,1.0,20.0,0.91455078125,300.0,1.5487288135592878,0.48444833333333337,-19.097412109375,442.3582839953658,55.71724308033829,-65.0,-18.005367279052734,2929.6873779296875,-1403.8085174560547,23.6728515625,0.5599999999985812,-55.36767578125,-4.272462844848633,938.4154815673828,-350.95212745666504,-0.7412118911743164,1.139999999984866,-45.296875
D51,57.0,5.0,100.0,1.6093177795410156,280.0,1.0726643598615815,0.4805852631578946,-10.93121337890625,105.51315625330128,165.81616595156413,-60.0,-17.08984375,3028.869583129883,-1258.8500137329102,23.97802734375,0.5599999999976717,-58.724605560302734,-10.375972747802734,2510.0706787109375,-999.4506072998047,18.48486328125,0.6200000000098953,-54.4521484375
D52,93.0,2.0,40.0,1.0749473571777344,460.0,1.9803278688524757,0.49731010752688176,-24.92816162109375,283.63061649077434,40.038502424871155,-63.0,-17.089839935302734,2510.070587158203,-1182.5561447143555,16.958984375,0.5799999999999272,-54.4521484375,-1.220703363418579,244.1405792236328,-198.3642463684082,4.446775436401367,1.7599999999947613,-19.35693359375
D53,4.0,14.0,280.0,5.2391357421875,520.0,66.55021834061202,0.25646499999999994,-2.13897705078125,84.03026962611237,206.10932717580113,-83.0,-5.18798828125,3097.5341033935547,-938.4155807495117,34.964351654052734,0.8000000000029104,-58.419429779052734,-7.629396438598633,1296.9969940185547,-602.7221298217773,18.7900390625,1.0399999999790452,-46.82275390625
D54,146.0,6.0,120.0,-0.71826171875,580.0,0.7775061124693997,0.5084946575342459,-8.0853271484375,131.99508526556613,154.1278318871421,-56.0,-21.362300872802734,3143.310531616211,-1976.013198852539,27.334957122802734,0.39999999999054126,-55.36767578125,-7.62939453125,1335.143943786621,-808.7157974243164,2.310546875,0.7400000000197906,-56.893550872802734
D55,3.0,15.0,300.0,6.38665771484375,460.0,18.238980716253327,0.20721333333333325,-1.826416015625,106.21504851554985,199.28942422285525,-82.0,-11.901853561401367,2136.2303924560547,-770.5688018798828,27.640132904052734,0.8399999999965075,-46.517578125,-9.46044921875,556.9457588195801,-366.2109069824219,5.057126998901367,1.2799999999988358,-37.97265625
D56,79.0,3.0,60.0,-10.370800018310547,580.0,6.154320987654514,0.42355848101265847,-22.196273803710938,149.788088188457,50.64728399434355,-65.0,-12.51220703125,3768.9207916259766,-2128.6010131835938,31.302242279052734,0.4000000000014552,-59.334957122802734,-25.329586029052734,2830.5052947998047,-1304.6265029907227,30.691890716552734,0.6000000000058208,-48.65380859375
D57,2.0,20.0,400.0,1.5467491149902344,580.0,1.0,0.44765999999999995,-3.90484619140625,91.099765507907,315.88788706819787,-85.0,-14.648433685302734,2487.1825256347656,-1037.5977172851562,32.522945404052734,0.7199999999866122,-48.958984375,-14.343259811401367,1388.5497283935547,-762.9394073486328,19.400390625,0.8399999999965075,-44.076171875
D58,135.0,5.0,100.0,-0.6937332153320312,540.0,2.7158469945354775,0.4416834074074072,-9.89898681640625,96.68267500830896,161.65657563114004,-71.0,-10.68115234375,3822.326431274414,-2304.0770416259766,34.964351654052734,0.3999999999978172,-57.503902435302734,-9.765623092651367,1411.437973022461,-755.3100204467773,7.498533248901367,0.6999999999825377,-47.1279296875
D59,3.0,13.0,260.0,-4.470409393310547,480.0,1.399548532731324,0.012580000000000258,-19.16680908203125,106.2226652710493,67.42511437855686,-68.0,-23.803709030151367,2357.4828186035156,-1892.0897674560547,19.70556640625,0.4200000000128057,-45.60205078125,-21.057126998901367,1991.2719116210938,-1655.5785369873047,22.14697265625,0.4400000000023283,-39.193359375
D60,53.0,12.0,240.0,-1.7274818420410156,460.0,1.3266398929049192,0.48212566037735893,-14.890800476074219,126.0785142648937,149.88521002516163,-58.0,-19.531246185302734,2761.8406829833984,-1342.7733764648438,20.62109375,0.5199999999967986,-54.14697265625,-12.512208938598633,1243.5912399291992,-579.8339805603027,5.667478561401367,0.8399999999965075,-43.4658203125
D61,65.0,8.0,160.0,-3.51251220703125,520.0,1.794871794871804,0.5923713846153849,-15.75750732421875,76.96902393028833,86.44584725640742,-68.0,-17.395015716552734,2647.3998260498047,-2204.8949127197266,18.48486328125,0.3599999999933061,-50.48486328125,-23.193357467651367,1785.2782135009766,-1594.5433654785156,15.127927780151367,0.4400000000023283,-43.4658203125
D62,104.0,3.0,60.0,-4.738346099853516,380.0,4.13725490196081,0.4544751923076924,-22.07574462890625,207.76004473195496,26.576876531147207,-62.0,-8.544921875,2342.224075317383,-1327.514549255371,6.583005905151367,0.5399999999972351,-61.776363372802734,-35.70556640625,1220.7030410766602,-808.7157897949219,12.686521530151367,0.6000000000058208,-38.88818359375
D63,62.0,8.0,160.0,-2.6099929809570312,320.0,0.9302030456853,0.4948835483870968,-14.222900390625,215.91101972453805,97.50766694006641,-63.0,-18.9208984375,3105.163543701172,-1808.1664733886719,24.283199310302734,0.4599999999918509,-59.029781341552734,-11.901851654052734,2326.9652099609375,-1243.5912246704102,19.09521484375,0.5600000000122236,-52.31591796875
D64,20.0,10.0,200.0,-4.560127258300781,560.0,1.7675276752767037,0.6175329999999999,-18.41246795654297,85.65521513451313,94.63936105457547,-65.0,-12.8173828125,3723.144485473633,-2990.7225494384766,26.724605560302734,0.2999999999956344,-60.555660247802734,-16.784664154052734,2273.5594787597656,-1960.7543640136719,11.465818405151367,0.39999999999417923,-52.31591796875
D65,4.0,11.0,220.0,8.139530181884766,420.0,16.79752367079385,0.30656000000000017,-2.45257568359375,171.3062736967702,128.35443414492053,-84.0,-4.882808685302734,2754.2113189697266,-877.3802947998047,33.133296966552734,0.819999999999709,-53.53662109375,-9.765623092651367,862.1215209960938,-488.2812080383301,16.04345703125,1.0800000000017462,-35.22607421875
D66,80.0,2.0,40.0,-0.5313682556152344,220.0,0.8776119402985328,0.5009040000000002,-13.417366027832031,417.93390273920903,54.38307074578223,-64.0,-21.667484283447266,3059.3870544433594,-2059.936477661133,22.14697265625,0.42000000000007276,-60.860836029052734,-12.817378997802734,2304.0770416259766,-1365.6615371704102,15.738279342651367,0.5400000000008731,-55.97802734375
D67,100.0,4.0,80.0,-2.4184608459472656,460.0,1.1774891774891842,0.47579519999999986,-10.345954895019531,335.8449935898599,64.73655122687299,-61.0,-25.634763717651367,1884.4604110717773,-1296.9969863891602,9.024412155151367,0.47999999999956344,-46.21240234375,-10.070799827575684,785.8276557922363,-534.0575714111328,6.583005905151367,0.7999999999883585,-29.73291015625
D68,75.0,11.0,220.0,-5.227916717529297,580.0,1.663390663390642,0.4926245333333332,-19.40074920654297,98.39928108152496,85.83974065108525,-66.0,-19.531246185302734,2395.6297454833984,-1609.8021697998047,14.517576217651367,0.4000000000014552,-48.3486328125,-10.986330032348633,1640.3197021484375,-1014.7094421386719,12.991697311401367,0.5800000000162981,-40.10888671875
D69,88.0,2.0,40.0,-1.3251457214355469,240.0,0.9055999999999869,0.49544977272727264,-9.534423828125,444.48297500489184,59.36093259304675,-59.0,-21.667476654052734,2258.3006286621094,-1411.4379196166992,7.498533248901367,0.4399999999986903,-53.2314453125,-9.765621185302734,1907.348648071289,-1075.7446212768555,9.939939498901367,0.5400000000008731,-48.04345703125
D70,89.0,3.0,60.0,-3.13397216796875,300.0,1.1237911025145042,0.49015348314606744,-18.65966796875,373.37329863725535,37.337421249229,-63.0,-20.751949310302734,2464.294219970703,-1464.84375,15.433103561401367,0.5,-55.6728515625,-8.850099563598633,1220.7031021118164,-663.7573013305664,9.634763717651367,0.8399999999965075,-42.85546875
D71,79.0,2.0,40.0,-0.24676513671875,520.0,1.1423423423423562,0.4942392405063294,-12.54693603515625,203.4845814543026,99.20094729620831,-55.0,-19.22607421875,3181.4574584960938,-1609.8022155761719,23.97802734375,0.47999999999956344,-57.503902435302734,-18.615720748901367,1792.9076080322266,-1022.3387985229492,10.245115280151367,0.6199999999953434,-46.82275390625
D73,7.0,9.0,180.0,4.840705871582031,560.0,28.99493670885983,0.23239142857142836,-1.68060302734375,110.39578573850306,199.8062780912324,-87.0,-3.35693359375,2670.288070678711,-831.6040115356445,33.438472747802734,0.9399999999950523,-58.114253997802734,-4.577632904052734,1121.5209884643555,-495.91062927246094,11.160642623901367,1.2600000000093132,-53.2314453125
D74,14.0,8.0,160.0,6.863822937011719,560.0,14.080838323352756,0.391968571428571,-1.54693603515625,209.80305671519494,106.72591877861478,-80.0,-4.57763671875,2502.4413452148438,-701.9043884277344,34.048824310302734,1.0400000000008731,-51.09521484375,-11.596678733825684,495.91062927246094,-656.1278820037842,16.3486328125,1.2399999999906868,-30.34326171875
D75,64.0,4.0,80.0,-2.2730064392089844,220.0,1.1272727272727212,0.5058059374999999,-15.44500732421875,213.68779455801237,112.82009937319388,-65.0,-17.39501953125,3250.122055053711,-2037.0482177734375,24.893550872802734,0.4399999999986903,-59.334957122802734,-13.73291015625,2517.7000122070312,-1586.9139862060547,18.1796875,0.5,-57.198726654052734
D76,134.0,10.0,200.0,-7.475406646728516,580.0,0.9198966408268658,0.5021553731343285,-12.762939453125,130.87232180814502,87.70719298184636,-62.0,-18.005367279052734,2876.2816162109375,-2548.217575073242,17.87451171875,0.31999999999970896,-54.4521484375,-21.972654342651367,1533.5082397460938,-1319.8852005004883,5.972654342651367,0.4800000000104774,-47.73828125
D77,63.0,4.0,80.0,-1.8100624084472656,440.0,1.34003091190108,0.48389746031745995,-12.94091796875,179.14716547940787,115.12833632680618,-64.0,-18.920894622802734,2456.6648864746094,-1335.1439743041992,19.09521484375,0.5600000000013097,-55.36767578125,-12.207029342651367,1739.5018463134766,-808.7157897949219,14.517576217651367,0.7199999999866122,-44.6865234375
D78,52.0,2.0,40.0,-4.807807922363281,180.0,1.8690807799442972,0.5828738461538463,-14.394706726074219,276.89400400276475,68.47102994219834,-64.0,-15.869140625,2853.3934173583984,-1960.7543182373047,18.48486328125,0.42000000000007276,-59.334957122802734,-15.563961029052734,2235.4125061035156,-1487.7318725585938,13.296873092651367,0.5,-54.75732421875
D79,85.0,3.0,60.0,0.028995513916015625,300.0,1.4170124481328092,0.46899788235294126,-12.6353759765625,416.64144515863967,47.37362901506855,-60.0,-19.531246185302734,2235.412399291992,-1190.185531616211,15.127927780151367,0.5799999999981083,-52.31591796875,-10.375978469848633,846.8627891540527,-488.2812385559082,-1.0463876724243164,0.9600000000064028,-41.32958984375
D80,69.0,3.0,60.0,-3.4809036254882812,340.0,1.063860667634219,0.47588840579710157,-19.21764373779297,137.61516638976389,115.27158383617098,-64.0,-17.08984375,3112.7928466796875,-1724.2430572509766,24.283199310302734,0.500000000003638,-59.334957122802734,-15.563961029052734,1823.425277709961,-915.5273132324219,8.414060592651367,0.6600000000180444,-52.0107421875
D81,97.0,1.0,20.0,3.4938430786132812,200.0,2.1222222222221117,0.46230391752577304,-12.08734130859375,812.409782409259,21.009095569929393,-75.0,-14.0380859375,4386.901718139648,-2082.8245391845703,35.269527435302734,0.38000000000010914,-59.640132904052734,-9.155275344848633,1457.2142486572266,-694.2748603820801,13.602048873901367,0.8200000000069849,-41.32958984375
D82,51.0,2.0,40.0,1.5149574279785156,240.0,1.162544169611298,0.4729780392156866,-20.7557373046875,340.65737666179837,79.00388312378642,-64.0,-16.174312591552734,1792.9076690673828,-854.4921417236328,14.517576217651367,0.8799999999991996,-55.0625,-3.662111282348633,1075.7446060180664,-419.6166687011719,7.498533248901367,1.2600000000020373,-47.1279296875
D83,58.0,3.0,60.0,3.95867919921875,520.0,1.1755050505050524,0.48696517241379267,-11.857048034667969,215.92778523592025,101.1569138404387,-64.0,-25.939939498901367,2243.041961669922,-1174.9266815185547,24.283199310302734,0.5999999999985448,-45.9072265625,-3.967283248901367,366.21092224121094,-221.25242137908936,-5.013672828674316,1.6000000000058208,-34.310546875
D84,71.0,3.0,60.0,-5.503349304199219,300.0,1.9951100244498998,0.47386535211267544,-24.57939910888672,241.98750995288987,43.30271999010094,-66.0,-11.90185546875,2525.3294677734375,-1220.7030563354492,15.127927780151367,0.6199999999989814,-59.945308685302734,-23.803709030151367,1037.5976028442383,-648.4985160827637,5.667478561401367,0.7800000000133878,-40.4140625
D85,37.0,2.0,40.0,-2.8141021728515625,360.0,2.3816568047337388,0.616245405405405,-14.4017333984375,213.78925959097683,64.7484220299756,-56.0,-14.0380859375,2723.6937103271484,-1174.9267196655273,16.958984375,0.680000000000291,-61.166011810302734,-9.155275344848633,778.1982307434082,-358.5815486907959,-4.403321266174316,1.1999999999970896,-44.076171875
